A		SACRAMENTO
B		DEER_CR_NR_SMARTVILLE
C		FLOW-UNREG
E		
F		ALT-AUGMENTED-MERGED
Units		CFS
Type		PER-AVER
685	16Aug1893	364.0
686	17Aug1893	355.2
687	18Aug1893	355.2
688	19Aug1893	355.2
689	20Aug1893	355.2
690	21Aug1893	355.2
691	22Aug1893	355.2
692	23Aug1893	355.2
693	24Aug1893	355.2
694	25Aug1893	355.2
695	26Aug1893	355.2
696	27Aug1893	355.2
697	28Aug1893	355.2
698	29Aug1893	355.2
699	30Aug1893	355.2
700	31Aug1893	355.2
701	01Sep1893	355.2
702	02Sep1893	355.2
703	03Sep1893	355.2
704	04Sep1893	355.2
705	05Sep1893	346.4
706	06Sep1893	346.4
707	07Sep1893	346.4
708	08Sep1893	346.4
709	09Sep1893	346.4
710	10Sep1893	364.0
711	11Sep1893	381.6
712	12Sep1893	399.2
713	13Sep1893	381.6
714	14Sep1893	328.8
715	15Sep1893	328.8
716	16Sep1893	328.8
717	17Sep1893	328.8
718	18Sep1893	328.8
719	19Sep1893	328.8
720	20Sep1893	328.8
721	21Sep1893	328.8
722	22Sep1893	328.8
723	23Sep1893	328.8
724	24Sep1893	320.0
725	25Sep1893	320.0
726	26Sep1893	320.0
727	27Sep1893	312.4
728	28Sep1893	312.4
729	29Sep1893	312.4
730	30Sep1893	312.4
731	01Oct1893	300.0
732	02Oct1893	300.0
733	03Oct1893	300.0
734	04Oct1893	300.0
735	05Oct1893	300.0
736	06Oct1893	300.0
737	07Oct1893	300.0
738	08Oct1893	300.0
739	09Oct1893	300.0
740	10Oct1893	300.0
741	11Oct1893	300.0
742	12Oct1893	300.0
743	13Oct1893	300.0
744	14Oct1893	300.0
745	15Oct1893	300.0
746	16Oct1893	300.0
747	17Oct1893	300.0
748	18Oct1893	300.0
749	19Oct1893	300.0
750	20Oct1893	300.0
751	21Oct1893	300.0
752	22Oct1893	300.0
753	23Oct1893	300.0
754	24Oct1893	300.0
755	25Oct1893	300.0
756	26Oct1893	300.0
757	27Oct1893	300.0
758	28Oct1893	300.0
759	29Oct1893	300.0
760	30Oct1893	300.0
761	31Oct1893	300.0
762	01Nov1893	300.0
763	02Nov1893	300.0
764	03Nov1893	300.0
765	04Nov1893	300.0
766	05Nov1893	300.0
767	06Nov1893	300.0
768	07Nov1893	300.0
769	08Nov1893	300.0
770	09Nov1893	300.0
771	10Nov1893	300.0
772	11Nov1893	300.0
773	12Nov1893	300.0
774	13Nov1893	300.0
775	14Nov1893	300.0
776	15Nov1893	300.0
777	16Nov1893	300.0
778	17Nov1893	300.0
779	18Nov1893	300.0
780	19Nov1893	300.0
781	20Nov1893	300.0
782	21Nov1893	300.0
783	22Nov1893	300.0
784	23Nov1893	300.0
785	24Nov1893	300.0
786	25Nov1893	300.0
787	26Nov1893	300.0
788	27Nov1893	300.0
789	28Nov1893	300.0
790	29Nov1893	300.0
791	30Nov1893	300.0
792	01Dec1893	792.0
793	02Dec1893	936.0
794	03Dec1893	632.0
795	04Dec1893	508.0
796	05Dec1893	440.0
797	06Dec1893	390.4
798	07Dec1893	372.8
799	08Dec1893	355.2
800	09Dec1893	346.4
801	10Dec1893	337.6
802	11Dec1893	328.8
803	12Dec1893	320.0
804	13Dec1893	304.8
805	14Dec1893	390.4
806	15Dec1893	480.0
807	16Dec1893	448.0
808	17Dec1893	408.0
809	18Dec1893	364.0
810	19Dec1893	320.0
811	20Dec1893	304.8
812	21Dec1893	364.0
813	22Dec1893	692.0
814	23Dec1893	620.0
815	24Dec1893	656.0
816	25Dec1893	668.0
817	26Dec1893	520.0
818	27Dec1893	448.0
819	28Dec1893	416.0
820	29Dec1893	390.4
821	30Dec1893	364.0
822	31Dec1893	346.4
823	01Jan1894	346.4
824	02Jan1894	456.0
825	03Jan1894	408.0
826	04Jan1894	364.0
827	05Jan1894	355.2
828	06Jan1894	346.4
829	07Jan1894	337.6
830	08Jan1894	328.8
831	09Jan1894	320.0
832	10Jan1894	312.4
833	11Jan1894	312.4
834	12Jan1894	312.4
835	13Jan1894	304.8
836	14Jan1894	828.0
837	15Jan1894	4473.3
838	16Jan1894	2968.0
839	17Jan1894	1472.0
840	18Jan1894	1160.0
841	19Jan1894	948.0
842	20Jan1894	1384.0
843	21Jan1894	1192.0
844	22Jan1894	1472.0
845	23Jan1894	1352.0
846	24Jan1894	1192.0
847	25Jan1894	1020.0
848	26Jan1894	924.0
849	27Jan1894	844.0
850	28Jan1894	792.0
851	29Jan1894	792.0
852	30Jan1894	896.0
853	31Jan1894	792.0
854	01Feb1894	716.0
855	02Feb1894	656.0
856	03Feb1894	608.0
857	04Feb1894	564.0
858	05Feb1894	668.0
859	06Feb1894	792.0
860	07Feb1894	668.0
861	08Feb1894	804.0
862	09Feb1894	728.0
863	10Feb1894	704.0
864	11Feb1894	680.0
865	12Feb1894	644.0
866	13Feb1894	620.0
867	14Feb1894	508.0
868	15Feb1894	596.0
869	16Feb1894	552.0
870	17Feb1894	508.0
871	18Feb1894	716.0
872	19Feb1894	1524.0
873	20Feb1894	1880.0
874	21Feb1894	1128.0
875	22Feb1894	868.0
876	23Feb1894	740.0
877	24Feb1894	668.0
878	25Feb1894	620.0
879	26Feb1894	596.0
880	27Feb1894	596.0
881	28Feb1894	620.0
882	01Mar1894	656.0
883	02Mar1894	936.0
884	03Mar1894	804.0
885	04Mar1894	728.0
886	05Mar1894	680.0
887	06Mar1894	868.0
888	07Mar1894	740.0
889	08Mar1894	908.0
890	09Mar1894	868.0
891	10Mar1894	976.0
892	11Mar1894	868.0
893	12Mar1894	792.0
894	13Mar1894	740.0
895	14Mar1894	716.0
896	15Mar1894	804.0
897	16Mar1894	908.0
898	17Mar1894	1224.0
899	18Mar1894	1128.0
900	19Mar1894	1068.0
901	20Mar1894	908.0
902	21Mar1894	844.0
903	22Mar1894	780.0
904	23Mar1894	740.0
905	24Mar1894	692.0
906	25Mar1894	644.0
907	26Mar1894	692.0
908	27Mar1894	752.0
909	28Mar1894	816.0
910	29Mar1894	896.0
911	30Mar1894	1068.0
912	31Mar1894	1240.0
913	01Apr1894	1384.0
914	02Apr1894	1320.0
915	03Apr1894	1224.0
916	04Apr1894	1144.0
917	05Apr1894	1052.0
918	06Apr1894	976.0
919	07Apr1894	924.0
920	08Apr1894	896.0
921	09Apr1894	868.0
922	10Apr1894	844.0
923	11Apr1894	868.0
924	12Apr1894	844.0
925	13Apr1894	780.0
926	14Apr1894	740.0
927	15Apr1894	704.0
928	16Apr1894	680.0
929	17Apr1894	644.0
930	18Apr1894	620.0
931	19Apr1894	608.0
932	20Apr1894	620.0
933	21Apr1894	620.0
934	22Apr1894	620.0
935	23Apr1894	632.0
936	24Apr1894	608.0
937	25Apr1894	596.0
938	26Apr1894	632.0
939	27Apr1894	668.0
940	28Apr1894	596.0
941	29Apr1894	576.0
942	30Apr1894	564.0
943	01May1894	564.0
944	02May1894	552.0
945	03May1894	532.0
946	04May1894	520.0
947	05May1894	508.0
948	06May1894	508.0
949	07May1894	564.0
950	08May1894	576.0
951	09May1894	564.0
